If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,Inbox by Gmail ganha formatação de texto | Google Discovery,Par de alianças impede que seu parceiro assista Netflix sem você,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Making open source data more available,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards
Inteligência artificial da IBM criou 'trailer perfeito' para filme,Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Nova pulseira tecnológica avisa se você já bebeu demais,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",1º Congresso Brasileiro de IoT - Embarcados
Bad Writing Is Destroying Your Company's Productivity,Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,Algorithms and architecture for job recommendations,The AI business landscape,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
Nintendo has doubled in value since Pokémon Go's release,The Internet of Things is looking for its VisiCalc,How enterprise architects can help ensure success with digital transformations,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Piloto de caça criado por inteligência artificial vence humano em combate simulado,Machine Learning Is Redefining The Enterprise In 2016
big data = real time,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Organizing for digital acceleration: Making a two-speed IT operating model work,Design Sprint: onde o design e a velocidade importam,A saga do jovem CEO da Dasa,"5 awesome Google Keep features you aren't using, but should be"
Hacked Website Report - 2016/Q3,Most Interesting APIs in 2016: Cognitive Computing,"Docker - Build, Ship, and Run Any App, Anywhere",Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa lança desafio para startups de tecnologia - Startupi
Containers are not VMs,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",19 Tips For Everyday Git Use,CSS Containment in Chrome 52 | Web Updates - Google Developers,14 Cool Drupal 8 modules for site builders | August 2016,An overview of web service solutions in Drupal 8
"Bots, Messenger and the future of customer service",What the Google I/O schedule tells us about the future of Android,"Google acquires Synergyse, an interactive training service for Google Apps",Building more accessible technology,Progressive Web App - first introduced on Google I/O | airberlin,Designing smart notifications
Vision API - Image Content Analysis,Modelando APIs REST com Swagger,Comparing React.js to Vue.js for dynamic tabular data,Ubuntu recebe suporte ao React Native e aplicativos de Android e iOS poderão chegar ao sistema,Labelling automated builds on Docker Hub - Microscaling Systems,Quick Tip: Working with the JavaScript Battery API
"Elopar lança o ""Digio"", cartão para brigar com Nubank",Visa lança desafio para startups de tecnologia - Startupi,Bradesco vai lançar novo banco digital: o Next.,Itaú é pioneiro do blockchain,Goodbye accountants! Startup builds AI to automate all your accounting,Nubank pode fechar as portas se BC confirmar mudança amanhã
Ray Kurzweil: The world isn't getting worse - our information is getting better,So you want to sell to banks?,Time to Re-Think Design Thinking,How to Get a Job at Google,Introducing New Relic Infrastructure,Jeff Seguros: SEGUROS E GAMES
"curso de branding, diferenciação e estratégia de marca",Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Branding é problema seu. E meu.,The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Shopping app Spring's redesign could be a game-changer
Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",Google researchers teach AIs to see the important parts of images - and tell you about them,Why Google App Engine rocks: A Google engineer's take
Organizing for digital acceleration: Making a two-speed IT operating model work,Why Deep Learning Is Suddenly Changing Your Life,big data = real time,Qual é a real diferença entre Data Storytelling e análise de dados? - CIO,Accenture amplia atuação no Brasil,Especial: O papel dos grandes provedores de TI na Rio 2016
"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",WeChat's competitor to Slack has arrived,WeChat's world,"How I built an app with 500,000 users in 5 days on a $100 server",Nintendo has doubled in value since Pokémon Go's release,Multi-Channel Marketing in 2015 - It's not rocket science.
A identidade visual de Budapeste para as Olimpíadas de 2024,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Sete Reinos,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Usability Heuristics for Bots - Chatbots Magazine
Graph Capabilities with the Elastic Stack,Google's Cloud Machine Learning service is now in public beta,Machine Learning Is No Longer Just for Experts,Algorithms and architecture for job recommendations,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Scala is the new golden child
Dicas avançadas de ruby (capybara/cucumber),Top 5 Android Testing Frameworks with Examples,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Promoting gender equality through emoji �� ��,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,"Agile is Dead, Long Live Continuous Delivery - Gradle"
Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Não existe frete grátis!,Microservices testing
It's The Future,Google's Cloud Machine Learning service is now in public beta,Using behavioral data to improve customer satisfaction,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,Scala is the new golden child,How Netflix does A/B Testing - uxdesign.cc - User Experience Design
Sobre o Hipsters Ponto Tech,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Usando o git add interativo,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Aplicações da Inteligência artificial | Endeavor Brasil,On DRY and the cost of wrongful abstractions
11 incredible ways UK businesses are using chatbots,"Telecoms open shop on Madison Avenue, but will brands buy?",Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Accidental discovery could help batteries last years longer,Bots won't replace apps. Better apps will replace apps.,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design
Festival de Fotografia Hercule Florence - Timeline | Facebook,Sete Reinos,A identidade visual de Budapeste para as Olimpíadas de 2024,Why Deep Learning Is Suddenly Changing Your Life,Branding é problema seu. E meu.,Duolingo's chatbots help you learn a new language
Ciclistas relatam roubos com agressividade na avenida dos Andradas,How it feels to learn Javascript in 2016,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Why It's Time to Take Google's PC Operating System Seriously,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
Sete Reinos,Goodbye accountants! Startup builds AI to automate all your accounting,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Festival de Fotografia Hercule Florence - Timeline | Facebook,A identidade visual de Budapeste para as Olimpíadas de 2024,Branding é problema seu. E meu.
"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,What to Expect at WWDC 2016,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads"
"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",Tasting Dagger 2 on Android,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,StrictMode for Runtime Analysis on Android - Google Developers,The Importance of Code Reviews,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket
The End Of Apps As We Know Them - Inside Intercom,An overview of web service solutions in Drupal 8,Confused by blockchains? Revolution vs Evolution,Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,You won't recognize the new world of digital payments without this report,"No, Apple isn't the next BlackBerry - it's the next Microsoft"
Empresa britânica adota licença remunerada no período menstrual,A importância dos filmes de mulherzinha - Capitolina,#iLookLikeAnEngineer: One Year Later,Mulheres são mais criativas que homens?,Promoting gender equality through emoji �� ��,Criadas para casar
Using Microservices Architecture as API Enablement Strategy,Arquitetura de Microserviços habilitando APIs - Sensedia,15 minutos sobre Docker,The Best Linux Distros of 2016,Hype Driven Development,Serverless real-time architecture on AWS: there is a way !
"Don't Start Big, Start a Little Snowball","Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mobify report reveals impact of mobile website speed,Things you probably didn't know you could do with Chrome's Developer Console,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Top 15 Facebook Open Source Projects You Must Know
CMN regulamenta abertura de conta de depósito por meio eletrônico,Mobile banking conquista o coração dos brasileiros,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Say goodbye to traditional customer segmentation "" Banking Technology",Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão
The compelling case to replace a 40-year old core system - Chris Skinner's blog,The Drive to Bank on Digital,Bradesco lança serviço inédito para estimular o hábito de poupar,A identidade visual de Budapeste para as Olimpíadas de 2024,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,How This Former Google Engineer Is Bringing Blockchain to Banks
Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,Transfer Style But Not Color,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Google lags behind Amazon and Microsoft's cloud in one important area,Machine Learning Is Redefining The Enterprise In 2016,Skill swarms - a new way to share expertise and work smarter together - Skillhive
Programação Reativa Funcional com RxJava,"Incrível, Skype se lembrou que o Linux existe!",StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Android Mobile Vision restores operation and adds Text API | Android Developers Blog,Firebase and Google Cloud: better together
Comercial japonês cria cidade de papel com caneta que conduz eletricidade,One Dollar Board: Um projeto brasileiro para revolucionar a educação,big data = real time,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Top Programming Languages Trends: The Rise of Big Data,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
My favorite people and resources to learn Android programming from,Post: Just Say mNo to Hungarian Notation,Firebase Test Lab for Android,Advanced Android Espresso,The Importance of Code Reviews,StrictMode for Runtime Analysis on Android - Google Developers
Cia. Hering sincroniza diferentes marcas em um único portal de compras,Por que o Walmart não é Walmart no Brasil,"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil
"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Migrating from Parse to Bluemix,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Firebase Test Lab for Android,Sam Newman - Backends For Frontends,Post: Just Say mNo to Hungarian Notation
"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Making open source data more available,The return of the machinery question,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The barbell effect of machine learning.
"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Top 5 Android Testing Frameworks with Examples,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,Dicas avançadas de ruby (capybara/cucumber),Sua comunidade de Teste.
Touch (TV Series 2012-2013),The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,The Physical Web,"Hello, a nova rede social do Orkut, está liberada no Brasil",Text summarization with TensorFlow
Angular 2 versus React: There Will Be Blood - Free Code Camp,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Creating Your Code Review Checklist - DaedTech,My favorite people and resources to learn Android programming from,Advanced Android Espresso,The Importance of Code Reviews
Docker 1.12: Now with Built-in Orchestration!,Why Is Learning Drupal Hard?,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Iniciando com o Docker: Criando suas próprias imagens - Tableless
Usando o git add interativo,Sobre o Hipsters Ponto Tech,Listas com RecyclerView - Android Dev BR,Elasticsearch: CSV exporter for Kibana Discover,The Ten Commandments of Egoless Programming,Mobify report reveals impact of mobile website speed
Qual é o valor da área de T&D na sua empresa?,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Investimentos em coaching e mentoring aumentam nas empresas,4 Reasons Managers Should Spend More Time on Coaching,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",The Genderbread Person v3 | It's Pronounced Metrosexual,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Introducing Ask a Female Engineer,Workplace diversity in Brazil: there's still a long way to go
Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge
Chatbots: Are they better without the chat?,O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Transforming life insurance with design thinking
"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",5 reasons your employees aren't sharing their knowledge,The AI business landscape,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,Engineering Digital Banking Solutions Using UX Methodology,Shopping app Spring's redesign could be a game-changer,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Forget The Internet Of Things, There Is A Digital Revolution Taking Place In Our Shopping Malls",Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
Arquitetura de Microserviços habilitando APIs - Sensedia,Using Microservices Architecture as API Enablement Strategy,Communication patterns in a Microservice world,15 minutos sobre Docker,How to build cross-platform mobile apps using nothing more than a JSON markup,Microservices - When to React Vs. Orchestrate - Capital One DevExchange
Plano nacional de ''internet das coisas'' sai em fevereiro,"Little girls doubt that women can be brilliant, study shows",JavaServer Faces 2.3 Quick Reference - DZone Java,Scrum Community - Scrum Alliance,Gartner Reprint,Chrome OS now has Material Design for the desktop
Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,Dries Buytaert,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Cross-channel user experiences with Drupal,Dries Distributions remain a growing opportunity for Drupal - Buytaert
Cross-channel user experiences with Drupal,An overview of web service solutions in Drupal 8,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The AI business landscape,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",The return of the machinery question
My experience with Google's Associate Android Developer Certification,Why Learning Angular 2 Was Excruciating,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microsoft's Open Source Love Affair Reaches New Heights,Jenkins 2.0 is here!,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão
Chat Smarter with Allo,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",The AI business landscape,Making open source data more available,5 reasons your employees aren't sharing their knowledge,"Google launches Springboard, an AI-powered assistant for its enterprise customers"
"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Why Is Learning Drupal Hard?,Docker 1.12: Now with Built-in Orchestration!,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless
Este texto do Ranieri é a melhor coisa que você lerá hoje,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Will blockchain drive the fourth Industrial Revolution?,Agronegócio mantém crescimento com tecnologia - inova.jor
Goodbye accountants! Startup builds AI to automate all your accounting,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Banking Needs a Customer Experience Wake-Up Call,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Mobile banking conquista o coração dos brasileiros,Starbucks tem mais dinheiro do cliente em cartões do que bancos
Livro: Retrospectivas Divertidas,Cinco competências comportamentais para você ser um bom líder,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,So you want to sell to banks?,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene
The Future of Business is Design,A digital crack in banking's business model,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",The End Of Apps As We Know Them - Inside Intercom,Staying one step ahead at Pixar: An interview with Ed Catmull,Embracing Agile
Visa inaugura centro para inovação em pagamento digital | EXAME.com,"How to build a robot that ""sees"" with $100 and TensorFlow",Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,The Business Case for Progressive Web Apps,15 Interesting JavaScript and CSS Libraries for October 2016,Effective learning through code workshops | Box Blog
Seniority,When to make a Git Commit,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",The Ten Commandments of Egoless Programming
This Super Accurate Portrait Selection Tech Uses Neural Networks,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Why Google App Engine rocks: A Google engineer's take,5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",An overview of web service solutions in Drupal 8,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Acquia Engage Awards Finalists Announced,Dries Buytaert
Starbucks tem mais dinheiro do cliente em cartões do que bancos,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Goodbye accountants! Startup builds AI to automate all your accounting,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Mobile banking conquista o coração dos brasileiros,Banking Needs a Customer Experience Wake-Up Call
