Title,Recommended Title,Similarity Score
Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,Blockchain CEO's Business Advice on Bitcoin Startups,0.11867578773402865
Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,0.11362940831591047
Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",0.1135663502089672
Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,Blockchain Huge Potential For The Insurance Industry,0.10211960145740652
Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,0.09647111617809821
The Rise And Growth of Ethereum Gets Mainstream Coverage,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.35495095157186174
The Rise And Growth of Ethereum Gets Mainstream Coverage,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.35495095157186174
The Rise And Growth of Ethereum Gets Mainstream Coverage,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.24190772695759657
The Rise And Growth of Ethereum Gets Mainstream Coverage,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.18726135916344505
The Rise And Growth of Ethereum Gets Mainstream Coverage,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.18726135916344505
Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,0.1526740904237904
Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,Black Friday salva o ano do e-commerce,0.11365717010638271
Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,0.11189288654635704
Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,Vidente reflete sobre os desafios contemporâneos,0.11054653554664336
Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,Vidente reflete sobre os desafios contemporâneos,0.11054653554664336
Setting Up HTTP(S) Load Balancing,Setting Up SSL proxy for Google Cloud Load Balancing,0.28576258908566554
Setting Up HTTP(S) Load Balancing,Introducing the new Google Cloud Load Balancing UI,0.2718567319595199
Setting Up HTTP(S) Load Balancing,How HTTP/2 is Changing Web Performance Best Practices,0.17886239456843941
Setting Up HTTP(S) Load Balancing,Pull request first - Practical Blend,0.16814661973698017
Setting Up HTTP(S) Load Balancing,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,0.15219388000510678
Setting Up SSL proxy for Google Cloud Load Balancing,Introducing the new Google Cloud Load Balancing UI,0.36985089806542154
Setting Up SSL proxy for Google Cloud Load Balancing,Setting Up HTTP(S) Load Balancing,0.28576258908566554
Setting Up SSL proxy for Google Cloud Load Balancing,How HTTP/2 is Changing Web Performance Best Practices,0.16739323510607299
Setting Up SSL proxy for Google Cloud Load Balancing,Implementing HTTP/2 in Production Environments,0.13712598903734963
Setting Up SSL proxy for Google Cloud Load Balancing,"Google Cloud Endpoints now generally available: a fast, scalable API gateway",0.1347809989338447
NTT to buy Dell's services division for $3.05 billion,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",0.09362108264465892
NTT to buy Dell's services division for $3.05 billion,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",0.07943224766138014
NTT to buy Dell's services division for $3.05 billion,Apple Hiring for New Machine Learning Division Following Turi Acquisition,0.06446034540614332
NTT to buy Dell's services division for $3.05 billion,How AWS came to be,0.06438952085671977
NTT to buy Dell's services division for $3.05 billion,Confirmed: Walmart buys Jet.com for $3B in cash,0.061553164841816
"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",Why Uber Is Killing the Bank (And What That Means for Everything Else),0.18532273809809663
"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",Serious Business: Is The Sharing Economy Good For Business?,0.1758865126624002
"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job","Slack and Uber's parting proves when apps unite, it isn't always a smooth ride",0.14376307270971156
"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",In defense of the Uber-ization of everything,0.13867526753393133
"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",Por que o Uber vem sofrendo tanto prejuízo entre empresas de tecnologia,0.12691140746701174
The internet of a billion things | ET CIO,Will IIoT bolster industrial automation investments? - ReadWrite,0.3438802216302914
The internet of a billion things | ET CIO,Will blockchain drive the fourth Industrial Revolution?,0.1919711745315445
The internet of a billion things | ET CIO,Is the Internet of Things in Your Home? Or on Your Body? [INFOGRAPHIC],0.13201099848530148
The internet of a billion things | ET CIO,IoT Day: A timeline of how IoT is changing the world (infographic),0.12581155240979572
The internet of a billion things | ET CIO,The Democratization of Innovation for the Internet of Things,0.12006624416460782
Artigos e Palestras - Programa Agricultura de Precisão do SENAR,Rede Agricultura de Precisão II,0.253733519278066
Artigos e Palestras - Programa Agricultura de Precisão do SENAR,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,0.15671542144859596
Artigos e Palestras - Programa Agricultura de Precisão do SENAR,Hackathon - Portal Embrapa,0.11488222443407117
Artigos e Palestras - Programa Agricultura de Precisão do SENAR,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",0.10392130863324389
Artigos e Palestras - Programa Agricultura de Precisão do SENAR,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,0.09130262188074321
Rede Agricultura de Precisão II,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,0.253733519278066
Rede Agricultura de Precisão II,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,0.23497291221206085
Rede Agricultura de Precisão II,MVP = aprendizado inteligente,0.17885225329089072
Rede Agricultura de Precisão II,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",0.13947403306545852
Rede Agricultura de Precisão II,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,0.12052832567035723
Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,19 Tips For Everyday Git Use,0.27847910644630025
Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,"Remote code execution, git, and OS X",0.15848465374034565
Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,Introducing unlimited private repositories,0.1466023386026279
Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.14568784288249506
Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.14568784288249506
Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,0.16296512786430756
Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.16285479310847936
Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.16285479310847936
Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.16285479310847936
Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,Blockchain Huge Potential For The Insurance Industry,0.13176026573943525
Using Gamified Hacking Challenges To Attract New Blockchain Developers,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,0.18675727511944543
Using Gamified Hacking Challenges To Attract New Blockchain Developers,Blockchain Huge Potential For The Insurance Industry,0.1661818243595418
Using Gamified Hacking Challenges To Attract New Blockchain Developers,Banks find blockchain hard to put into practice - FT.com,0.14908830853435137
Using Gamified Hacking Challenges To Attract New Blockchain Developers,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,0.14246390021188832
Using Gamified Hacking Challenges To Attract New Blockchain Developers,Open Source Giant Red Hat Launches First Blockchain Initiative - CoinDesk,0.13809780611849107
O potencial do bitcoin na América Latina,E os vencedores do Latam Founders Awards 2016 são... - Startupi,0.1817330058729904
O potencial do bitcoin na América Latina,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,0.15629443778642899
O potencial do bitcoin na América Latina,NetBeans Day Brasil 2016,0.15097541620095456
O potencial do bitcoin na América Latina,Nova iniciativa busca desenvolver o ecossistema de Fintechs da América Latina,0.14900617360526378
O potencial do bitcoin na América Latina,Economia Colaborativa: a tendência que está mudando o mercado,0.14295302932159243
From fine wine to lotteries: Blockchain tech takes off - BBC News,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",0.178712670677859
From fine wine to lotteries: Blockchain tech takes off - BBC News,Banks find blockchain hard to put into practice - FT.com,0.16085022111246697
From fine wine to lotteries: Blockchain tech takes off - BBC News,Blockchain won't kill banks: Bitcoin pioneer,0.13629169316765377
From fine wine to lotteries: Blockchain tech takes off - BBC News,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,0.12235375284054538
From fine wine to lotteries: Blockchain tech takes off - BBC News,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",0.11231133942424427
Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,A Voz Da Marca #2 - De onde vêm as histórias by A Voz da Marca,0.1832725055143774
Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,"Conheça a Liga IoT, plataforma de inovação aberta que irá acelerar projetos ligados a Internet das Coisas",0.1673543577968624
Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,0.1492279430548459
Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,3M e o perfil intraempreendedor | Endeavor Brasil,0.1353501080353838
Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Como é o relacionamento do CMO e do CIO na sua empresa?,0.13059552611913228
Pimp My Pitch: como fazer um Pitch poderoso,Webinars | MATERA Systems,0.1423918647350718
Pimp My Pitch: como fazer um Pitch poderoso,Webinars | MATERA Systems,0.1423918647350718
Pimp My Pitch: como fazer um Pitch poderoso,Para inovar é preciso mais do que boas ideias - Startupi,0.14178642090516755
Pimp My Pitch: como fazer um Pitch poderoso,"Se eu fosse falar de todas as ideias péssimas que tive, precisaríamos de muito tempo, diz cofundador do Google",0.1363877193882057
Pimp My Pitch: como fazer um Pitch poderoso,71 erros de português que precisam sumir dos seus e-mails,0.13123673470477273
Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,0.2654925988396189
Google DeepMind Is Now Analysing Magic And Hearthstone Cards,What DeepMind brings to Alphabet,0.17422594628808813
Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,0.14013625006855912
Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Mark A Trello Card As Done (And Drop The Mic On That Task),0.12386135980106393
Google DeepMind Is Now Analysing Magic And Hearthstone Cards,"Machine Learning, AI, and the Emperor's Vest",0.11345400701505222
How OKCupid Changed Hiring Forever.,Ray Kurzweil: The world isn't getting worse - our information is getting better,0.08884690711111881
How OKCupid Changed Hiring Forever.,Trello Is Being Acquired By Atlassian,0.08790785812704506
How OKCupid Changed Hiring Forever.,Beyond Progressive Web Apps Part 1,0.08233122237372702
How OKCupid Changed Hiring Forever.,Drupal and ambitious digital experiences,0.08121871467517947
How OKCupid Changed Hiring Forever.,Google is quietly recording everything you say. Here's how to hear it,0.07981854953259086
The Hierarchy of Engagement - Greylock Perspectives,Doing Data Science Right - Your Most Common Questions Answered,0.164794892196571
The Hierarchy of Engagement - Greylock Perspectives,Building a high-throughput data science machine,0.1435244234549342
The Hierarchy of Engagement - Greylock Perspectives,Unilever Buys Dollar Shave Club for $1 Billion,0.12828243300458947
The Hierarchy of Engagement - Greylock Perspectives,So long MVP. Hello Minimum Loveable Product.,0.10787147517790556
The Hierarchy of Engagement - Greylock Perspectives,BIG BRAND REDEMPTION | New free Trend Briefing from TrendWatching,0.10593110732771646
Welcome Google Cloud Platform!,World's Fastest Growing Open Source Platform Pushes Out New Release,0.4238373367894264
Welcome Google Cloud Platform!,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,0.31675086526200236
Welcome Google Cloud Platform!,The Top 10 Most Common Mistakes That Node.js Developers Make,0.314460800529093
Welcome Google Cloud Platform!,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,0.27890773492141135
Welcome Google Cloud Platform!,After a year of using NodeJS in production,0.2589374690493815
Hopper raises $16 million for a travel app that tells you the best time to fly,Slack raises $200m at $3.8b valuation for business messaging,0.2965029560184533
Hopper raises $16 million for a travel app that tells you the best time to fly,Hollar snags another $30 million for its fast-growing dollar store app,0.25899365257241513
Hopper raises $16 million for a travel app that tells you the best time to fly,Number26 raises another $40 million for its vision for the future of banking,0.22784149966574693
Hopper raises $16 million for a travel app that tells you the best time to fly,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,0.17125774713346303
Hopper raises $16 million for a travel app that tells you the best time to fly,Cape Analytics raises $14 million to use computer vision for better insurance quotes,0.16797897859844121
Indústria 4.0: desafios e oportunidades,"IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",0.1579523136752029
Indústria 4.0: desafios e oportunidades,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,0.15476450088215152
Indústria 4.0: desafios e oportunidades,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",0.15228744404753589
Indústria 4.0: desafios e oportunidades,Meio&Mensagem,0.14743893849491307
Indústria 4.0: desafios e oportunidades,Infográfico: Algoritmos para Aprendizado de Máquina,0.14298618850560554
MedStar Washington Potentially Affected By Bitcoin Ransomware,A trip to Google's New York City Pop-Up Shop,0.09738686931810513
MedStar Washington Potentially Affected By Bitcoin Ransomware,Shutter Island (2010),0.09700088271483648
MedStar Washington Potentially Affected By Bitcoin Ransomware,An overview of web service solutions in Drupal 8,0.07686344347867953
MedStar Washington Potentially Affected By Bitcoin Ransomware,IBM's Watson aims to make hospital stays suck a whole lot less,0.0748223241822947
MedStar Washington Potentially Affected By Bitcoin Ransomware,The Internet of Things,0.0746113673576616
CoinFest 2016: Uniting the World's Bitcoiners,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",0.12874121930383514
CoinFest 2016: Uniting the World's Bitcoiners,Blockchain won't kill banks: Bitcoin pioneer,0.09688836009746
CoinFest 2016: Uniting the World's Bitcoiners,Bitit Launches to Solve Bitcoin Biggest Issues - Accessibility and Fraud,0.0932944116141311
CoinFest 2016: Uniting the World's Bitcoiners,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",0.09109338126395881
CoinFest 2016: Uniting the World's Bitcoiners,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",0.09004208600243233
French Senate Will Debate on Bitcoin Regulation,Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,0.20727986005574786
French Senate Will Debate on Bitcoin Regulation,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",0.19744608951573148
French Senate Will Debate on Bitcoin Regulation,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.16642918696321243
French Senate Will Debate on Bitcoin Regulation,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.16642918696321243
French Senate Will Debate on Bitcoin Regulation,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.1633012829488572
Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions",0.20827994159210608
Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,French Senate Will Debate on Bitcoin Regulation,0.20727986005574786
Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,Bitit Launches to Solve Bitcoin Biggest Issues - Accessibility and Fraud,0.1794252225505512
Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,Blockchain won't kill banks: Bitcoin pioneer,0.17740584744728038
Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.17155803205631834
Slice Labs raises $3.9M to insure on-demand workers when they're on the job,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",0.3386817642046766
Slice Labs raises $3.9M to insure on-demand workers when they're on the job,The new-world insurance agent,0.22732801767313515
Slice Labs raises $3.9M to insure on-demand workers when they're on the job,German insurance startup Clark closes €13.2M Series A,0.21900577363952148
Slice Labs raises $3.9M to insure on-demand workers when they're on the job,How Blockchain Technology Can Improve the Insurance Industry,0.19503823451036706
Slice Labs raises $3.9M to insure on-demand workers when they're on the job,Cape Analytics raises $14 million to use computer vision for better insurance quotes,0.17849297702096678
Enable the new Google Contacts for your users from the Admin console,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,0.18604499600179267
Enable the new Google Contacts for your users from the Admin console,Google connects BigQuery to Google Drive and Sheets,0.18404689926808648
Enable the new Google Contacts for your users from the Admin console,Introducing the Google API Console,0.1779287437958162
Enable the new Google Contacts for your users from the Admin console,Automate deployments and traffic splitting with the App Engine Admin API,0.17302108705750388
Enable the new Google Contacts for your users from the Admin console,Get your apps and games ready for space with Google Play | Android Developers Blog,0.1680759434579532
Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Workplace diversity in Brazil: there's still a long way to go,0.2003023492512068
Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Promoting gender equality through emoji �� ��,0.10684978659566294
Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Ahead of the curve: The future of performance management,0.08993165047769434
Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Ask a Female Engineer: Joining a Startup,0.08620727623919539
Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Most People Say They Could Get Rid of Tons of Stuff and Still Be Happy,0.08551180007254805
Staying one step ahead at Pixar: An interview with Ed Catmull,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,0.10006916921578547
Staying one step ahead at Pixar: An interview with Ed Catmull,Code.org 2016 Annual Report,0.09649402787396548
Staying one step ahead at Pixar: An interview with Ed Catmull,The Internet of Things is looking for its VisiCalc,0.08957231351981834
Staying one step ahead at Pixar: An interview with Ed Catmull,New Google Cloud Platform Education Grants offer free credits to students,0.08551461478632688
Staying one step ahead at Pixar: An interview with Ed Catmull,Bring Your App To Life with CALayers,0.08414737834759883
"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Today in Apple history: Steve Jobs resigns as Apple CEO,0.15613212416709146
"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,0.1402306437773713
"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Today in Apple history: Steve Jobs passes away | Cult of Mac,0.12995199866288532
"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Today in Apple history: Steve Jobs passes away,0.12995199866288532
"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Today in Apple history: Steve Jobs passes away | Cult of Mac,0.12995199866288532
Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Honda: mulheres já respondem por 50% das vendas via consórcio,0.23027033419854961
Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,App da Natura ganha recurso que permite pesquisar consultoras e pontos de venda mais próximos,0.19506434628941474
Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",0.17368556935034027
Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Google começa a preparar o Android para a chegada do Assistant | Google Discovery,0.16217053071589396
Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,0.1555522364688757
Robots are coming for your job,Sharing innovation with your competitors - Dries Buytaert,0.09944842899400108
Robots are coming for your job,Will blockchain drive the fourth Industrial Revolution?,0.09825148543716446
Robots are coming for your job,Neural networks are inadvertently learning our language's hidden gender biases,0.08968390710479258
Robots are coming for your job,Top 30 Commonly Confused Words in English,0.08033078089462897
Robots are coming for your job,Chat app Kik launches a bot store and anyone can make bots for it,0.07742178868519418
Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,0.2654925988396189
Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,Baidu Research grills AI models on deep learning,0.13065245747880613
Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,Number plate recognition with Tensorflow,0.12590912399787427
Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,A Neural Network that Dreams in Resumes - untapt blog,0.12499472087367168
Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,What DeepMind brings to Alphabet,0.10807715211649561
Bayesian machine learning,The Science of Cycology,0.1169212865010329
Bayesian machine learning,The Ten Commandments of Egoless Programming,0.11446125915301807
Bayesian machine learning,'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!,0.10230238763406363
Bayesian machine learning,30 Learning Resources For Mastering Angular 2,0.09064449627369797
Bayesian machine learning,Costa Rica presenta su primer edificio construido con tetra pak reciclado,0.0903044399287968
